nama_usaha,wilayah,alamat_usaha,rt,rw,penanggung_jawab,badan_usaha,telepon,fax,jenis_usaha,kapasitas,
Queen's Tandoor,Jakarta Pusat,Plaza Permata Jl. MH. Thamrin No. 57,,,Ramesh Kundanmal Shamdasani,PT. Ratu Mahkota,021 3903287,021 3903287,Bar,2015-01-10,
Red & White,Jakarta Pusat,Ratu Plaza Shopping Centre Grand Flour Unit G.,,,Yudi Martanto,PT. Wonderful Mulia Jaya,,,Bar,2015-02-20,
Red Square,Jakarta Pusat,Plaza Senayan Jl. New Delhi  No. 9,,,Hari Setiawan,PT. Segiempat Merah Prima,021 57901281,021 57901286,Bar,2015-01-10,
Red Tomato,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav. 28 - 30,,,Jeannie Widjaja,PT. Global Fusion,021 57974288,,Bar,2015-01-10,
Remboelan,Jakarta Pusat,Jl. Asia Afrika No. 8,,,Sonny Kurniawan,PT. karunia Kuliner Indonesia,,,Bar,2015-01-10,
Remboelan,Jakarta Pusat,Jl. Asia Afrika No. 8,,,Sonny Kurniawan,PT. karunia Kuliner Indonesia,,,Bar,2015-01-10,
Rive Gauche,Jakarta Pusat,Jl. Veteran I No. 21 - 22,,,Harsana Gandasaputra,PD. Resto Rive Gauche,021 34831458,,Bar,2015-01-10,
Roca,Jakarta Pusat,Jl. Sunda No. 3 Rt/Rw 008/004,,,Erastus Pramudita Radjimin,PT. Altar Filadelfia,021 31925888,021 31925999,Bar,2015-01-10,
Roemah Rempah,Jakarta Pusat,Jl. Asia Afrika No.8,,,Suhartono Tjondrosuharto,Perorangan,021 5725813,021 5725805,Bar,2015-01-10,
Rustique,Jakarta Pusat,Plaza Senayan Lt.4 Unit CP413 Jl. Asia Afrika N,,,Haryadi Ridwan,PT. Lucky Abadi Kulinerindo,021 57852761,021 57852761,Bar,2015-01-10,
Rych Menu Restoran,Jakarta Pusat,Gd. Menara Merdeka GF-05 Jl. Budi Kemuliaan I,,,Harsono Tjandra,PT. Royal Cuisine Indonesia,021 5707126,021 5707125,Bar,20/40,
Saint Louis Lounge,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin 28 - 30,,,Nany Makmur,PT. Allegro Presentia,,,Bar,2015-01-10,
Salt Grill,Jakarta Pusat,The Plaza Lantai 46 Jl. MH. Thamrin Kav. 28-30,,,Henky Rusli,PT. Intercontinental Culinary,,,Bar,2015-01-10,
Samara,Jakarta Pusat,Jl. Kebon Sirih No. 77,,,Lucienne Kristi Anhar,,021 3920384,021 3918690,Bar,2015-01-10,
Samara,Jakarta Pusat,Jl. Kebon Sirih No. 77,,,Lucienne Kristi Anhar,,021 3920384,021 3918690,Bar,2015-01-10,
Sapphire Lounge & Bar,Jakarta Pusat,Hotel Redtop Jl. Pecenongan No. 72,,,Winda Trihanny,PT. Sanggraha Dhika,021 3500077,021 3500077,Bar,20/100,
Segafredo Zanetti,Jakarta Pusat,Jl. MH. Thamrin Kav. 28-30,,,Monica Tian,PT. Aroma Moka Nusantara,021 3150279,,Bar,2015-01-10,
Shanghai Blue 1920,Jakarta Pusat,Jl. Kebon Sirih No. 79,,,Melati Tanjungsari,,021 3918690,021 3918675,Bar,2015-01-10,
Shanghai Blue 1920,Jakarta Pusat,Jl. Kebon Sirih No. 79,,,Melati Tanjungsari,Melati Tanjungsari,021 3918690,021 3918675,Bar,2015-01-10,
Shas'bu Bistro,Jakarta Pusat,Jl. Asia Afrika No. 8,,,Mesayu Shaskia Kartika,PT. Surya Artha Perkasa,,,Bar,2015-01-10,
Skye,Jakarta Pusat,Menara BCA 56th FloorJl. MH. Thamrin No. 1,,,Asrul Abraham Hendrata,PT. Gala Lestari Karya,021 3141626,021 3141626,Bar,2015-01-10,
South Beauty,Jakarta Pusat,Thamrin Nine Podium ANZ Square Jl. MH. Tham,,,Danandjaja Wanadi,PT. Maharajaddi Oriental,021 46826969,021 46828195,Bar,2015-01-10,
Spageddies Italian Kitchen,Jakarta Pusat,Mal Senayan City Jl. Asia Afrika Lot. 19,,,Boejono Tjokro,PT. Indo Tristalie,,,Bar,2015-01-10,
Spageddies Italian Kitchen,Jakarta Pusat,Jl. Asia Afrika Lot 19 Mal Senayan City,,,Boejono Tjokro,PT. Indo Tristalie,,,Bar,2015-01-10,
Spin City,Jakarta Pusat,"Plaza Indonesia Xenter Jl. MH. Thamrin Kav. 8-9,",,,Sugianto Adiwinata,PT. Prima Perkasa Persada Pratama,021 3147277,021 3147277,Bar,2015-01-10,
Studio 21 Boutique,Jakarta Pusat,Hotel Golden Jl. Gunung Sahari Raya No. 46,,,Hermanto Susanto,PT. Batara Tabaraka,,,Bar,2015-01-10,
Sushi Tei,Jakarta Pusat,Senayan City Mal Jl.Asia Afrika Lot 19,,,Kusnadi Rahardja,PT.Sushi Tei Indonesia,021 72781678,021 72781678,Bar,2015-01-10,
Sushi Tei,Jakarta Pusat,Grand Indonesia Unit No. WM-LG-01 Jl. MH. Tha,,,Kusnadi Rahardja,PT. Sushi-Tei Indonesia,021 72801149,021 72801151,Bar,2015-01-10,
Sushi Tei,Jakarta Pusat,Mal Senayan City Jl. Asia Afrika No. 8,,,Kusnadi Rahardja,PT. Sushi Tei Indonesia,,,Bar,15/70,
Sushi Tei,Jakarta Pusat,Plaza Senayan Lt. 2/285-C&287-C Jl. Asia Afrika,,,Kusnadi Rahardja,PT. Sushi Tei Indonesia,021 5730928,021 5725777,Bar,2015-01-10,
Sushi Tei,Jakarta Pusat,Plaza Indonesia Jl. MH. Thamrin Kav.28-30,,,Kusnadi Rahardja,PT. Sushi Tei Indonesia,021 39835108,021 39835109,Bar,2015-01-10,
Swiss-Bel Hotel Mangga Besar,Jakarta Pusat,Jl. Kartini Raya No. 57,,,Andi Suhandi,PT. Grand Swiss International,021 6393888,021 30027200,Bar,13/47,
Swiss-Bel Hotel Mangga Besar,Jakarta Pusat,Jl. Kartini Raya No. 57,,,Andi Suhandi,PT. Grand Swiss International,021 6393888,021 30027200,Bar,13/47,
Syuri,Jakarta Pusat,Jl. Cikini Raya No. 58 CD,,,Tarmizi,Tarmizi,021 31937550,021 31937758,Bar,2015-01-10,
Takumi,Jakarta Pusat,Gd. Senayan Golf Lt. 1 Jl. Asia Afrika No. 8,,,Ardhy Ryadi,PT. Graha Andrawina Lestari,021 5710181,,Bar,2015-01-10,
Tartine,Jakarta Pusat,FX Lifestyle Xenter Jl. Jend.Sudirman Pintu I Sen,,,Edyman Bedman Panjaitan,PT. Sari Utama Abadi,021 25554258,021 25554222,Bar,2015-01-10,
Taste Paradise,Jakarta Pusat,Plaza Indonesia Lt. 4 Jl. MH. Thamrin Kav. 28 - 3,,,Daniel Marathon,PT. Paradise Indonesia,021 29923838,021 29923838,Bar,2015-01-10,
Tatemukai,Jakarta Pusat,Grand Indonesia Jl. MH. Thamrin No. 1,,,Andy Hartawan Sardjito,PT. Citra Rasa International,,,Bar,2015-01-10,
Tee 9,Jakarta Pusat,Gd. Indosurya Plaza Jl. MH. Thamrin Kav. 8 - 9,,,Simon Chaniago,PT. Prima Inti Pangan,021 38909068,021 38909068,Bar,2015-01-10,
Terrazza Bianco,Jakarta Pusat,Jl. KH. Wahid Hasyim No.91,,,Juslina Djaja,PT. Amanindo Parma,021 31905335,021 31901661,Bar,2015-01-10,
The Belly Clan,Jakarta Pusat,Intiland Tower Jl. Jend. Sudirman No. 32,,,Waldheim Willim,PT. Promenade Makmur Raya,021 5708181,021 5708182,Bar,2015-01-10,
The Boutique KTV,Jakarta Pusat,Plaza Senayan Arcadia Jl. New Delhi No. 9,,,Hari Setiawan,PT. Karya Tembang Abadi,,,Bar,2015-01-10,
The Cloud,Jakarta Pusat,"The Plaza Office Tower at Level 46 Unit C, C1 &",,,Paulus Panggabean,PT. Pawon Wangi Restorindo,021 31990159,021 31990159,Bar,2015-01-10,
The Grand Duck King,Jakarta Pusat,Jl.MH.Thamrin No.1,,,Ibin Bachtiar,PT.Selera Indonesia Makmur,021 23580835,021 23580846,Bar,2015-10-25,
The Luv's Bar And Dine,Jakarta Pusat,Jl.KH.Mas Mansyur No.121,,,Ir.Buyung Achmad Yani,PT.Lancar Utama Varia,,,Bar,2015-01-10,
The Marmalade Pantry,Jakarta Pusat,Jl. MH. Thamrin Kav.28-30,,,Wiriady Widjaja,PT. Roda Dunia,,,Bar,2015-01-10,
The Only One Club,Jakarta Pusat,FX Lifestyle Xnter Jl. Jend.Sudirman Pintu I,,,Milie Lukito,PT.Kelab O Satu,021 25554115,021 25554125,Bar,2015-01-10,
The Playground,Jakarta Pusat,Plaza Indonesia Ext. Lt.4 Jl.MH.Thamrin Kav.28 -,,,Patricia Melissa Linardi,PT. Indriya Lifeart Development,,,Bar,2015-01-10,
The Social House,Jakarta Pusat,Grand Indonesia Jl. MH. Thamrin No. 1,,,Asrul Abraham Hendrata,PT. Prima Ismaya Sejahtera,021 23581818,021 23581818,Bar,2015-01-10,
The Terrace,Jakarta Pusat,Gd. Senayan Golf Jl. Asia Afrika,,,Ardhy Ryadi,PT. Graha Andrawina Lestari,021 5710181,021 5710181,Bar,2015-01-10,
Tiga Kuda Music Café,Jakarta Pusat,Jl. Cikini Raya No. 105,,,Indra Teja Kamarudin,PT. Menteng Sarana Wisata,,,Bar,2015-01-10,
Tiga Kuda Music Café,Jakarta Pusat,Jl. Cikini Raya No. 105,,,Indra Teja Kamarudin,PT. Menteng Sarana Wisata,,,Bar,2015-01-10,
Tin Pan Alley,Jakarta Pusat,Jl. MH. Thamrin No. 10,,,Irine Tjandra,PT. Manna Pratama Sejahtera,021 6930782,021 6923487,Bar,1937-04-01,
Tokyo Belly,Jakarta Pusat,Grand Indonesia Jl. MH. Thamrin No. 1,,,Brian Ivan Sutatnto,PT. Wamaya Jaya,,,Bar,2015-01-10,
Tony Roma's,Jakarta Pusat,Jl. MH.Thamrin No.10,,,Roni Prananto,PT. Mas Millennium Indonesia,021 3845511,021 3150754,Bar,2015-01-10,
Tony Roma's,Jakarta Pusat,Plaza UOB Jl. MH. Thamrin No. 10,,,Roni Prananto,PT. Mas Millennium Indonesia,021 3845511,021 3150754,Bar,2015-01-10,
Tribeca N.Y.C Bar & Diner,Jakarta Pusat,Jl. KH.Mas Mansyur No.121,,,Novayati Amilia Ness,PT. Tribeca Indonesia Entertainment,,,Bar,2015-01-10,
Twg,Jakarta Pusat,Plaza Senayan Jl. Asia Afrika No. 8,,,Haryadi Ridwan,PT. Aroma Kuliner Indonesia,021 5723456,021 57900111,Bar,2015-01-10,
Unacho,Jakarta Pusat,Jl. Asia Afrika Blok 18 - 19,,,Sonny Kurniawan,PT. Culinary Concepts Indonesia,,,Bar,2015-01-10,
Union Bistro & Bar,Jakarta Pusat,"SOGO, Plaza Senayan Jl. Asia Afrika No. 8",,,Robin Jeremia,PT. Mitra Selera Bersama,021 57992866,021 57992866,Bar,2015-01-10,
Union Bistro & Bar,Jakarta Pusat,Jl. Asia Afrika No. 8,,,Robin Jeremia,PT. Mitra Selera Bersama,021 57992866,,Bar,2015-01-10,
Urban Kitchen,Jakarta Pusat,Jl. Asia Afrika,,,Andrew Agung Santoso,PT. Perdana Mulia Abadi,021 72781555,021 72787575,Bar,2015-01-10,
V - 2,Jakarta Pusat,Duta Merlin Jl. Gajah Mada No. 3-5 Lt. III,,,Anton Han,PT. Agung Graha Jaya,,,Bar,2015-01-10,
Vin +,Jakarta Pusat,Plaza Senayan Arcadia Jl. New Delhi No.9 Pintu,,,Cipto Sukaryadi,PT.Satria Maju Bersama,,,Bar,2015-01-10,
Vines,Jakarta Pusat,"Hero Pasar Swalayan, Gd. Sarinah Lt. Basement",,,Johan Manese Wattimena,PT. Maksima Karya Sakti,021 31923435,021 31923435,Bar,2015-01-10,
Whiskey Barons Jakarta,Jakarta Pusat,City Walk Jl. KH. Mas Mansyur No. 121,,,Yadi Suhendi Dayana,PT. Senang Selalu Bersama,021 29912813,021 29912814,Bar,2015-01-10,
White Box,Jakarta Pusat,Jl. HOS. Cokroaminoto No. 91 A,,,Julia Tjandra,UD. White Box,021 3903999,021 3903999,Bar,2015-01-07,
White Box,Jakarta Pusat,Jl. HOS. Cokroaminoto No. 91 A,,,Julia Tjandra,UD. White Box,021 3903999,021 3903999,Bar,2015-01-07,
X - Ktv,Jakarta Pusat,Mal Senayan City Jl. Asia Afrika Lot.19,,,Ali Santoso,PT. Panca Boga Sukses Pratama,,,Bar,2015-01-10,
X2,Jakarta Pusat,Plaza Senayan Jl. Asia Afrika No. 8,,,Dany Setiawan,PT. Bahana Makmur Lestari,021 5725559,021 5725351,Bar,2015-01-10,
Xxi Ball Room & Club,Jakarta Pusat,Gd. Djakarta Theater Jl. MH. Thamrin No.9,,,Tri Rudy Anitio,PT. Nusantara Sejahtera Raya,021 3922656,021 3920472,Bar,2015-01-10,
Xxi Lounge,Jakarta Pusat,Plaza Senayan Jl.New Delhi No.9 Pintu I,,,Harris Lasmana,PT.Nusantara Sejahtera Raya,021 5725295,021 5725295,Bar,2015-01-10,
Y & Y,Jakarta Pusat,Jl.MH.Thamrin No.1,,,Yerline Hanani,PT.MULTI PANGAN LESTARI,021 3441920,021 3441927,Bar,2015-01-10,
Yellow Fin,Jakarta Pusat,Grand Indonesia Mall Unit West Mall Lt.5 No. W,,,Bona Budhisurya,PT. Mitra Indoboga Sukses,,,Bar,2015-01-10,
Yopanino,Jakarta Pusat,Plaza Indonesia L4 #E23T Jl. M.H. Thamrin Kav.,,,Jitin Singh Kapoor,PT. Swaadh Indonesia,021 3520729,021 3520729,Bar,2015-01-10,
Yo'panino,Jakarta Pusat,Plaza Indonesia L4#E23T Jl. MH. Thamrin Kav. 2,,,Jitin Singh Kapoor,PT. Swaadh Indonesia,,,Bar,2015-01-10,
Zen,Jakarta Pusat,Jl. MH. Thamrin Kav. 3 lantai 8,,,Anfar,CV. Pupita Nirwana,021 2303078,021 2300303,Bar,2015-01-10,
Zodiak,Jakarta Pusat,City Walk Jl. KH.Mas Mansyur No. 121,,,Anton,PT. Zodiak Indonesia,021 25556626,021 25556627,Bar,2015-01-10,
+ 6 2,Jakarta Selatan,Jl. Jend. Sudirman Kav. 54 - 55,,,Samsul Bahri Noor,PT. Maxicash International,,,Bar,2015-01-10,
2 MAD EATERY,Jakarta Selatan,Jl. Benda No. 46 B,6,4,Sarah Rosinta Hutauruk,PT. Madison Primaboga,021 7891556,021 7891556,Bar,2015-01-10,
3 6 5,Jakarta Selatan,Jl. Kemang Raya No. 6,,,Juno Adhi Suwandhono,PT. Sanggadaya Kalatraya,,,Bar,2015-01-10,
4 MUSIM,Jakarta Selatan,Jl. Melawai VIII No. 40,,,Afifah Dewi,CV. Indah Harmonis,021 7203115,021 7203115,Bar,2015-01-10,
AFTER HOUR,Jakarta Selatan,"Anex Building Point Square, Jl. RA Kartini No. 1, Lebak Bulus",,,Kheng Liang,PT. Mitra Sukses Primula,,,Bar,2015-01-10,
AKIRA BACK,Jakarta Selatan,"Gd. MD Place Tower Lantai 12, Jl. Setiabudi Selatan",,,Susanna Kusnowo,PT. Akira Indonesia,,,Bar,2015-01-10,
ALBERO,Jakarta Selatan,Jl. Tebet Raya No. 58,,,Ir. Made Repel,PT. Eldora Entertainment,021 83783805,021 83793745,Bar,2015-05-20,
ALCOHOLICS,Jakarta Selatan,Jl. Kemang Raya No. 72,,,Patrick Gunadi,CV. Wijaksara Sarwaguna Nagara,021 7195675,,Bar,2015-04-10,
ALEGRO F - KTV,Jakarta Selatan,"Gd. Epicentrum Media Walk, Jl. HR. Rasuna Said",,,Buyung Achmad Yani,PT. Musica Entertainment Internationa,021 8374912,021 8374912,Bar,2015-01-10,
ALICE'S WONDERLAND SULAWESI,Jakarta Selatan,Jl. Kemang Raya Selatan,,,ITJE KUSUMAWATI,PT. Yovell Indonesia,,,Bar,2015-01-10,
AMARONE BISTRO & BAR,Jakarta Selatan,Jl. Kemang Raya No. 2 H,,,Ryan Adrian,PT. Pandora Boga Lestari,,,Bar,2015-01-10,
AMIGOS,Jakarta Selatan,"Bellagio Boutique Mal, Jl. Mega Kuningan Barat",,,Ny. Oktobriana,"PT.Eatertainment Indonesia,Tbk",021 75915031,021 75915031,Bar,2015-01-10,
AMIGOS,Jakarta Selatan,"Kemang Club Villas, Jl. Bangka I",,,Ny. Oktobriana,"PT.Eatertainment Indonesia,Tbk",021 7192584,021 7192584,Bar,2015-01-10,
APERITIVO,Jakarta Selatan,Jl. HR. Rasuna Said Kav. 10-11,,,"Irmanurani, SH",PT. Foodtainment Concepts Indonesia,021 52892304,021 52892305,Bar,2015-01-10,
APHRODITE,Jakarta Selatan,"Jl. HR. Rasuna Said Kav. C-22, Klub Rasuna",,,Darmawan Narjadin,PT. Multiboga Primarasa,021 5273307,021 79914528,Bar,2015-01-10,
APOLLO,Jakarta Selatan,Jl. HR.Rasuna Said Kav. 1 Lt. 36,,,Gamal Putra,PT. Imperium Persada Indonesia,021 83786008,,Bar,2015-04-18,
APOLLO BAR & RESTORAN,Jakarta Selatan,"Bellagio Boutique Mall, Jl. Mega Kuningan",,,Charley Fiando,PT. Apollo Lifestyle Concept,,,Bar,2015-01-10,
ARI JONG,Jakarta Selatan,Jl. Mahakam I No. 11 A,,,Kwek Lie San,PT. Gesan Nusantara,,,Bar,2015-01-10,
ARTIST,Jakarta Selatan,Jl. Melawai VIII No. 1,,,Ida Wati,PT. Pesona Jelita Nusantara,,,Bar,2015-01-10,
ARTOZ,Jakarta Selatan,"Gd. The Energy Lt. 7 SCBD Lot. 11 A, Jl. Jend. Sudirman",,,Rajendra Thalib,PT. Api Metra Boga,021 29959051,021 2505067,Bar,2015-01-10,
ARUBA,Jakarta Selatan,"Pasaraya Blok M, Jl. Iskandarsyah II No. 2",,,Ahmad Marda,PT. Lintas Mitra Niaga,021 72780419,021 72780415,Bar,2015-01-10,
ATTIC S,Jakarta Selatan,Jl. Kemang Jaya Raya No. 24 A,,,Fit Aidil Massewa,PT. Dias Anugrah,021 7194273,021 71793960,Bar,2015-01-10,
AYA,Jakarta Selatan,Jl. Mahakam Raya No. 11 A,,,Novi Renata Sari,PT. Morenahama Indonesia,021 72795184,021 72795342,Bar,2015-01-06,
B 1 CLUB,Jakarta Selatan,Jl. Kemang Raya No. 11,,,Glenn Boyd Lapian,PT. Indonusa Mandiri Pratama,021 7990012,021 7990012,Bar,2015-01-10,
BACCO,Jakarta Selatan,"Lotte Shopping Avenue LG-38 Ciputra World I, Jl. Prof. Dr Satrio Kav. 3-5",,,Oscar Hari Prakoso,PT. Kulina Artha Sentosa,,,Bar,2015-01-10,
BALBONI,Jakarta Selatan,"Mall Kota Casablanca, Jl. Kasablanka Kav. 9-10",,,Gunawardena Indrajith,PT. Mount Scopus Indonesia,021 45844954,021 45844954,Bar,2015-01-10,
BALI CAFÉ,Jakarta Selatan,"Gd. Pasaraya Grand, Jl. Iskandarsyah II No. 2",,,Ahmad Marda,PT. Lintas Mitra Niaga,021 72780419,021 72780415,Bar,2015-01-10,
BARCODE,Jakarta Selatan,Jl. Kemang Raya I No. 8,,,Audy Riri Mestika,PT.Barcode Mestika Jakarta,021 71790552,021 71791583,Bar,2015-01-10,
BARLEY AND HOPS,Jakarta Selatan,Jl. Ciputat Raya No. 1,4,6,Cristina Dewi,PT. Sejahtera Prima Kencana,021 7651808,021 7651088,Bar,1950-12-01,
BARLEY AND HOPS,Jakarta Selatan,Jl. HR. Rasuna Said,,,Anton Sudarto,PT. Sejahtera Wahyu Utama,021 29912252,,Bar,2015-01-10,
BASARA,Jakarta Selatan,Jl. Jend. Sudirman Kav. 61-62,,,Yusuf Anwar,PT. Great Asia Paramitra,021 5200880,,Bar,2015-01-10,
BASILICO,Jakarta Selatan,"Gandaria City, Jl. KH. SyafiI Hadzami No. 8",,,Tan Alexander Prawiro Bayu S,PT. Bald Man Group,,,Bar,2015-01-20,
BAU - HAUS,Jakarta Selatan,"The East Lt. Basement, Jl. Dr. Ide Anak Agung Gede",,,Surya Andraruchman Putra,PT. Metra Nadi Indonesia,,,Bar,2015-01-10,
BE HAPPY,Jakarta Selatan,Jl. MT. Haryono Kav. 2-3,,,Alexander Penbur Mere,PT. Eternal Lelang Sejahtera,,,Bar,2015-01-10,
BEER BROTHER,Jakarta Selatan,Jl. Komplek Kemang No. 28/ Jl. Taman Kemang,,,Nita Rosdiyanti,PT. Tri Agung Nusantara BB,,,Bar,2015-01-10,
BEER GARDEN,Jakarta Selatan,"SCBD, Jl. Jend. Sudirman Kav. 52 - 53",,,Mikael Mirdad T,PT. Beer Garden Indonesia,,,Bar,2015-01-10,
BEER GARDEN,Jakarta Selatan,Jl. Benda Raya No. 7 RT011/RW004,,,Mikael Mirdad T,PT. Beer Garden Indonesia,,,Bar,2015-01-10,
BEERDY,Jakarta Selatan,Jl. Sultan Iskandar Muda,,,Aldi A.J. Gerung,PT. Golftainment Indonesia,,,Bar,2015-01-10,
BEERDY,Jakarta Selatan,Jl. Sultan Iskandar Muda,,,Aldi A.J. Gerung,PT. Golftainment Indonesia,,,Bar,2015-01-10,
BEYOND,Jakarta Selatan,"Graha Iskandarsyah, Jl. Iskandarsyah Raya No. 6",,,Mahisa Windoko,PT. Mahesa Qodie Boga,021 72791832,021 72791832,Bar,2015-01-10,
BIBIGO,Jakarta Selatan,"Pacific Place Mall Lot 3-5, Sudirman Central Bus",,,Young Son,PT. CJ Foodville Indonesia,021 52995000,021 52995191,Bar,2015-01-10,
BIBIGO,Jakarta Selatan,"Pacific Place Mall Lot 3-5, Sudirman Central Bus",,,Young Son,PT. CJ Foodville Indonesia,021 52995000,021 52995191,Bar,2015-01-10,
BIBLIOTHEQUE,Jakarta Selatan,Jl. Jend.Sudirman Kav. 45-46,,,Tinawati,PT. Inti Boga Laterna,021 7237685,,Bar,2015-01-10,
BISTRONOMY JAKARTA,Jakarta Selatan,Jl. Ciniru I No. 2 RT005/RW002,,,Dadi Sunardi,PT. Cipta Prima Jaya,,,Bar,2015-01-10,
BITE & BEER,Jakarta Selatan,Jl. Panglima Polim Raya No. 15,,,Listiawati Halim,PT. Isihombing,,,Bar,2015-01-10,
BITS & BOBS,Jakarta Selatan,"Gd. Semanggi Expo SCBD Lot. 8, Jl. Jend. Sudirman",,,Nabila Annisa Mayanda,PT. Nugya Agung Bogatama,021 51401011,021 51401012,Bar,2015-01-10,
BLACKSTEER,Jakarta Selatan,"The Bellezza Suites  H - GF, Jl. Letjend. Soepeno",,,Jenny Hendrawan,PT. Multi Primarasa Sejati,,,Bar,2015-01-10,
BLOWFISH PURO,Jakarta Selatan,"Wisma Mulia Gd. City Plaza, Jl. Jend. Gatot Subroto",,,Ariyanto,CV. Nusantara Prima,021 52971212,021 52971211,Bar,2015-01-10,
BLUE MONKEY,Jakarta Selatan,Kawasan Niaga Terpadu Sudirman (SCBD) Group,,,Georgius Alexander,PT. Mitra Sarana Boga,021 52920138,021 52920138,Bar,2015-01-10,
BLUEGRASS,Jakarta Selatan,Bakrie Tower Lt. GF Komp. Rasuna Epicentrum,,,Reeza Budhisurya,PT. Foobe Indo Persada,021 70512205,021 70512205,Bar,2015-01-10,
BOKA BUKA,Jakarta Selatan,"Pondok Indah Mall, Jl. Metro Pondok Indah Blok II",,,Hendra Tjahyawati,PT. Stokeswood Retail,021 2172377,021 2172377,Bar,2015-01-10,
BOKA BUKA,Jakarta Selatan,Jl. Metro Pondok Indah Blok III-B,,,HENDRA TJAHYAWATI,PT. STOKESWOOD RETAIL,021 7664308,021 7664308,Bar,2015-01-10,
B-ONE AND LOUNGE,Jakarta Selatan,"Plaza Bintaro Satoe Lt.2, Jl. Bintaro Utama I/1",,,Indera,CV. The First Sport Entertainment,,,Bar,2015-01-10,
BORNGA,Jakarta Selatan,Jl. Wolter Monginsidi No. 24,,,Rusbianto,PT. Borngalbi,,,Bar,2015-01-10,
BOTTEGA,Jakarta Selatan,"Menara Bank Danamon, Jl. Prof. Dr. Satrio No. E",,,Hanna Tjhin,PT. Bottega Edesia Citra,,,Bar,2015-01-10,
BRENTWOOD,Jakarta Selatan,"Darmawangsa Square, Jl. Darmawangsa VI No. 4",,,Adrie Liemen,PT. Nuansa Seni Boga,021 8319401,021 8319401,Bar,2015-01-10,
BREW & CO,Jakarta Selatan,Jl. Lingkar Mega Kuningan,,,Ayodhya Glenardi,PT. Brew Indonesia,,,Bar,2015-01-10,
BREW & CO,Jakarta Selatan,Jl. TB.Simatupang Kav.17,,,Ratna Arianto,PT. Brew Indonesia,021 75920364,,Bar,2015-01-10,
BREW & CO,Jakarta Selatan,"Cilandak Town Square, Jl. TB.Simatupang Kav.17",,,Ayodhya Glenardi,PT. Brew Indonesia,021 75920364,021 75920364,Bar,2015-01-10,
BRICKS KITCHEN & LOUNGE,Jakarta Selatan,Jl. Jend.Sudirman Kav.50,,,Anthony Budiawan,PT. Panen Raya Kuliner,021 2553500,021 25535001,Bar,2015-01-10,
BROADWAY IN NEWYORK,Jakarta Selatan,Jl. Melawai VIII No. 4 Lt. 4,,,Sri Hastuti,PT. Melati Suci,021 72798462,021 72798462,Bar,2015-01-10,
BUREAU GASTRONOMIC & PUB,Jakarta Selatan,Jl. Metro Duta Niaga,,,Lie Anny Rosalina,PT. Chelerax Mapan,,,Bar,2015-01-10,
BUREAU GASTRONOMIC & PUB,Jakarta Selatan,"Plaza Pondok Indah II, Jl. Metro Duta Niaga",,,Lie Anny Rosalina,PT. Chelerax Mapan,,,Bar,2015-01-10,
BURGUNDI,Jakarta Selatan,Jl. Melawai VI No. 12-12A,,,Hartuti K,PT. Hartuti Expressindo,,,Bar,2015-01-10,
BYBLOS BISTRO,Jakarta Selatan,"Street Galery, Jl. Metro Pondok Indah Blok III-B",,,Dina Santi Idroes,PT. Tiga Gading Emas Indonesia,,,Bar,2015-01-10,
BYRE - SYNCH,Jakarta Selatan,Jl. Sultan Iskandar Muda RT007/RW002,,,Byron Karwanto Munadi,PT. Bireyoka Anta Persada,,,Bar,2015-01-10,
CAFÉ OH LALA MAISON,Jakarta Selatan,"Bellagio Boutique Mal Unit 06-12A, Kawasan Mega Kuningan",,,Janery Louisa Tandean,PT. Oh Lala International,021 30029725,021 30029725,Bar,2015-01-10,
CALIFORNIA PIZZA KITCHEN,Jakarta Selatan,Jl. Kemang Raya No. 37,,,Djoni Hasjim,PT. Sharandy Makmur Perkasa,021 71791220,021 71792025,Bar,2015-01-10,
CANTEEN,Jakarta Selatan,"Pacific Place Mal, Jl. Jend.Sudirman Kav. 52-53",,,Wisnu Wardana,PT. Casa Maha Rasa,021 57973742,021 57973754,Bar,2015-01-10,
CANTIK JAKARTA,Jakarta Selatan,Jl. Melawai VII No. 4,,,Ali Nasser Asry,PT. Asry Anugerah  Abadi,021 72797902,021 72797903,Bar,2015-01-10,
CANTIK TOKYO,Jakarta Selatan,Jl. Melawai VI No. 7,,,Hartuti K.,PT. Hartuti Expressindo Co. Ltd,021 7261670,,Bar,15/60,
CAPOCACCIA SANDWICH AND LOUNGE,Jakarta Selatan,"Pacific Place Mal, Jl. Jend. Sudirman Kav. 52-53",,,Nadia Krasna Anna S,PT. Penny Roos,,,Bar,2015-01-10,
CAPRESE,Jakarta Selatan,"Mal Kota Kasablanca, Jl. Casablanca Kav. 9-10 G",,,Tan Alexander Prawiro Bayu S,PT. Bald Man Group,021 2908000,021 2908001,Bar,2015-01-10,
CARPE DIEM,Jakarta Selatan,Jl. Kemang Raya No. 24 A,,,Isam Mohamed,pt. Yamakawa Rattan Indonesia,021 7193068,021 7193087,Bar,2015-01-10,
CARREFOUR,Jakarta Selatan,Jl. Prof.Dr.Satrio,,,Kuswanto Gunadi,PT. Trans Retail Indonesia,021 7585800,021 7585707,Bar,2015-02-08,
